Old	New
>137_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum_SAG8	>137_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum_SAG
>206_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__sp_YL2021b_SAG2	>206_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__sp_YL2021b_SAG
>186_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_intestinalis_SAG3	>186_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_intestinalis_SAG
>025_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_dentatum_SAG3	>025_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_dentatum_SAG
>104_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus_SAG7	>104_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus_SAG
>074_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_caudatum_SAG1	>074_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_caudatum_SAG
>070_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_cattanei_SAG2	>070_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_cattanei_SAG
>037_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron_triloricatum_SAG3	>037_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron_triloricatum_SAG
>123_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium_gracile	>123_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__
>098_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus_SAG10	>098_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus_SAG
>151_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Spirodiniidae;g__Tetratoxum;s__Tetratoxum_excavatum	>151_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Spirodiniidae;g__Tetratoxum;s__
>157_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Troglodytellidae;g__Troglodytella;s__Troglodytella_abrassarti_IsolateA	>157_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Troglodytellidae;g__Troglodytella;s__Troglodytella_abrassarti
>028_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_flabellum_SAG1	>028_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_flabellum_SAG
>046_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_bursa_SAG3	>046_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_bursa_SAG
>054_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_caudatum_SAG4	>054_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_caudatum_SAG
>197_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_prostoma_SAG3	>197_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_prostoma_SAG
>196_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_prostoma_SAG2	>196_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__
>125_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium_gracile_SAG1	>125_k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium_gracile_SAG
